source,target
PLOD3,NDUFS2
NDUFA4,NDUFS2
F7,NDUFS2
TF,NDUFS2
DLD,NDUFS2
MCCC2,NDUFS2
SRM,NDUFS2
SARS,NDUFS2
TOP2A,NDUFS2
NDUFS1,NDUFS2
NDUFS3,NDUFS2
TKT,NDUFS2
PSMB1,NDUFS2
PSMB5,NDUFS2
SDHA,NDUFS2
KARS,NDUFS2
HSPA8,NDUFS2
TUBA4A,NDUFS2
MARS,NDUFS2
TOP1,NDUFS2
ANXA1,NDUFS2
ANXA2,NDUFS2
HSD17B10,NDUFS2
NDUFV2,NDUFS2
NDUFA9,NDUFS2
COMT,NDUFS2
ALDH1B1,NDUFS2
SLC25A1,NDUFS2
NDUFA5,NDUFS2
TUBG1,NDUFS2
HDAC1,NDUFS2
HDAC2,NDUFS2
VARS,NDUFS2
SLC7A5,NDUFS2
NOMO1,NDUFS2
ALDH2,NDUFS2
ATP1A1,NDUFS2
AFG3L2,NDUFS2
PCCB,NDUFS2
NDUFS7,NDUFS2
ATP1B3,NDUFS2
EPHX1,NDUFS2
HM13,NDUFS2
PGRMC1,NDUFS2
CPT2,NDUFS2
SLC25A18,NDUFS2
CYP51A1,NDUFS2
IDH3A,NDUFS2
P4HA1,NDUFS2
RAF1,NDUFS2
BCR,NDUFS2
CANX,NDUFS2
CALM1,NDUFS2
P4HA2,NDUFS2
SUCLG2,NDUFS2
SUCLG1,NDUFS2
SLC25A10,NDUFS2
NDUFA10,NDUFS2
HBB,NDUFS2
LEPRE1,NDUFS2
KCND3,NDUFS2
MMAB,SUCLA2
GLDC,SUCLA2
FARS2,SUCLA2
NDUFS8,SUCLA2
AASS,SUCLA2
NDUFS2,SUCLA2
SHMT2,SUCLA2
ALDH3A2,SUCLA2
DLD,SUCLA2
MCCC2,SUCLA2
PTGES3,SUCLA2
NDUFS1,SUCLA2
NDUFS3,SUCLA2
SDHA,SUCLA2
KARS,SUCLA2
HSPA8,SUCLA2
TUBB,SUCLA2
HSP90AA1,SUCLA2
TOP1,SUCLA2
HSD17B10,SUCLA2
PRDX1,SUCLA2
NDUFA9,SUCLA2
COMT,SUCLA2
ALDH1B1,SUCLA2
SLC25A1,SUCLA2
TUBA1A,SUCLA2
PLOD1,SUCLA2
SLC7A5,SUCLA2
NOMO1,SUCLA2
ALDH2,SUCLA2
RRM1,SUCLA2
ATP1A1,SUCLA2
AFG3L2,SUCLA2
PCCB,SUCLA2
ATP1B3,SUCLA2
EPHX1,SUCLA2
HM13,SUCLA2
PGRMC1,SUCLA2
CPT2,SUCLA2
SLC25A18,SUCLA2
SLC25A22,SUCLA2
CYP51A1,SUCLA2
IDH3A,SUCLA2
JAK1,SUCLA2
CANX,SUCLA2
CKMT1A,SUCLA2
SUCLG1,SUCLA2
SLC25A10,SUCLA2
SLC30A7,SUCLA2
ATIC,TFPI
NME2,TFPI
LIG3,TFPI
ASPH,TFPI
MPG,TFPI
EIF2AK2,TFPI
NME1,TFPI
PRKCI,TFPI
F7,TFPI
MAP4,TFPI
HMGB1,TFPI
KARS,TFPI
HSPA8,TFPI
TUBB,TFPI
IMPDH2,TFPI
IARS,TFPI
MARS,TFPI
TOP1,TFPI
PARP1,TFPI
RXRB,TFPI
PLOD1,TFPI
POU2F1,TFPI
PGD,TFPI
ELANE,TFPI
MMP12,TFPI
MMP9,TFPI
F10,TFPI
